"Package","Version","LibPath"
"targets","1.12.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"testthat","3.3.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"textshaping","1.0.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tibble","3.3.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tidymodels","1.5.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tidyr","1.3.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tidyselect","1.2.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tidyverse","2.0.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"timechange","0.4.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"timeDate","4052.112","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tinytex","0.60","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"truncnorm","1.0-9","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tsibble","1.2.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"TTR","0.24.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tune","2.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tzdb","0.5.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"urca","1.3-4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"utf8","1.2.6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"uuid","1.2-2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"V8","8.2.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"vctrs","0.7.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"viridisLite","0.4.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"vroom","1.7.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"waldo","0.6.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"warp","0.2.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"withr","3.0.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"workflows","1.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"workflowsets","1.1.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"xfun","0.60","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"xgboost","3.2.1.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"xml2","1.6.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"xmlparsedata","1.0.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
